game,date,date_display,draw_id,draw_slot,weekday,hour,numbers,bonus,source,source_csv,archive_segment,my_million,jackpot
euromillions,2004-11-19,20041119,2004041,,VE,,37 29 34 18 1,6 2,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2004-11-26,20041126,2004042,,VE,,24 1 34 4 36,8 6,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2004-12-03,20041203,2004043,,VE,,15 42 11 1 49,4 3,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2004-12-10,20041210,2004044,,VE,,3 13 43 1 16,7 2,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2004-12-17,20041217,2004045,,VE,,49 22 19 15 46,9 2,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2004-12-24,20041224,2004046,,VE,,3 27 29 4 37,6 5,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2004-12-31,20041231,2004047,,VE,,8 7 47 25 24,8 9,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-01-07,20050107,2005001,,VE,,50 27 47 3 23,3 2,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-01-14,20050114,2005002,,VE,,11 14 29 6 19,3 1,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-01-21,20050121,2005003,,VE,,12 14 10 26 24,8 5,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-01-28,20050128,2005004,,VE,,26 21 7 43 45,5 7,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-02-04,20050204,2005005,,VE,,11 1 40 30 8,7 8,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-02-11,20050211,2005006,,VE,,11 13 25 32 50,7 4,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-02-18,20050218,2005007,,VE,,32 46 20 21 26,8 9,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-02-25,20050225,2005008,,VE,,43 3 27 44 30,8 4,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-03-04,20050304,2005009,,VE,,12 32 37 39 24,7 9,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-03-11,20050311,2005010,,VE,,40 12 43 23 8,1 4,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-03-18,20050318,2005011,,VE,,48 39 23 6 43,5 7,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-03-25,20050325,2005012,,VE,,29 33 38 4 37,9 6,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-04-01,20050401,2005013,,VE,,26 44 47 25 41,3 7,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-04-08,20050408,2005014,,VE,,31 50 25 11 7,3 1,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-04-15,20050415,2005015,,VE,,6 31 42 38 28,9 3,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-04-22,20050422,2005016,,VE,,13 10 24 47 3,9 5,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-04-29,20050429,2005017,,VE,,42 35 9 3 39,1 8,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-05-06,20050506,2005018,,VE,,44 21 12 7 26,6 8,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-05-13,20050513,2005019,,VE,,12 40 31 17 32,9 2,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-05-20,20050520,2005020,,VE,,28 6 47 7 13,8 5,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-05-27,20050527,2005021,,VE,,50 48 31 2 24,9 4,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-06-03,20050603,2005022,,VE,,8 11 3 17 50,5 1,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-06-10,20050610,2005023,,VE,,37 32 47 7 6,7 1,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-06-17,20050617,2005024,,VE,,8 4 10 21 18,7 1,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-06-24,20050624,2005025,,VE,,6 15 8 14 45,7 8,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-07-01,20050701,2005026,,VE,,23 28 5 4 25,3 4,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-07-08,20050708,2005027,,VE,,42 46 36 35 49,8 2,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-07-15,20050715,2005028,,VE,,42 23 1 11 12,6 3,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-07-22,20050722,2005029,,VE,,49 14 41 3 48,1 4,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-07-29,20050729,2005030,,VE,,50 3 19 49 26,5 4,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-08-05,20050805,2005031,,VE,,21 11 2 22 30,4 6,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-08-12,20050812,2005032,,VE,,37 23 40 15 30,7 9,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-08-19,20050819,2005033,,VE,,41 29 11 24 31,3 1,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-08-26,20050826,2005034,,VE,,29 35 40 41 9,6 1,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-09-02,20050902,2005035,,VE,,43 3 4 50 14,3 6,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-09-09,20050909,2005036,,VE,,31 12 50 19 8,7 6,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-09-16,20050916,2005037,,VE,,19 38 12 13 21,3 9,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-09-23,20050923,2005038,,VE,,1 31 34 26 47,4 9,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-09-30,20050930,2005039,,VE,,11 50 48 6 47,1 6,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-10-07,20051007,2005040,,VE,,26 44 21 13 2,3 9,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-10-14,20051014,2005041,,VE,,10 19 11 23 20,6 1,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-10-21,20051021,2005042,,VE,,19 14 33 1 29,1 8,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-10-28,20051028,2005043,,VE,,14 50 47 44 36,3 5,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-11-04,20051104,2005044,,VE,,38 42 36 37 26,2 6,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-11-11,20051111,2005045,,VE,,41 16 36 42 15,5 3,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-11-18,20051118,2005046,,VE,,34 17 18 48 25,3 2,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-11-25,20051125,2005047,,VE,,27 39 47 6 1,6 1,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-12-02,20051202,2005048,,VE,,1 30 20 9 23,4 7,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-12-09,20051209,2005049,,VE,,11 42 38 35 18,1 5,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-12-16,20051216,2005050,,VE,,2 18 3 15 32,7 6,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-12-23,20051223,2005051,,VE,,31 42 37 36 15,1 7,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2005-12-30,20051230,2005052,,VE,,19 45 43 8 16,1 4,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2006-01-06,20060106,2006001,,VE,,6 26 14 9 2,4 5,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2006-01-13,20060113,2006002,,VE,,12 19 33 34 8,1 6,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2006-01-20,20060120,2006003,,VE,,15 12 50 33 44,6 2,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2006-01-27,20060127,2006004,,VE,,9 21 15 40 49,4 1,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2006-02-03,20060203,2006005,,VE,,30 39 9 21 50,3 1,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2006-02-10,20060210,2006006,,VE,,5 38 6 48 50,6 7,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2006-02-17,20060217,2006007,,VE,,4 23 38 24 26,4 2,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2006-02-24,20060224,2006008,,VE,,18 19 1 47 11,7 3,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2006-03-03,20060303,2006009,,VE,,5 44 10 8 3,3 5,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2006-03-10,20060310,2006010,,VE,,1 33 21 45 49,4 8,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2006-03-17,20060317,2006011,,VE,,50 44 5 45 32,7 1,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2006-03-24,20060324,2006012,,VE,,17 47 28 33 35,4 9,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,,
euromillions,2006-03-31,20060331,2006013,,VE,,50 3 45 20 31,7 6,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,0 206 102,
euromillions,2006-04-07,20060407,2006014,,VE,,13 12 29 50 44,4 5,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,0 911 292,
euromillions,2006-04-14,20060414,2006015,,VE,,34 35 26 16 49,6 2,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,7 250 414,
euromillions,2006-04-21,20060421,2006016,,VE,,46 1 22 20 37,1 9,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,8 654 665,
euromillions,2006-04-28,20060428,2006017,,VE,,17 5 33 22 10,7 5,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,6 149 422,
euromillions,2006-05-05,20060505,2006018,,VE,,8 50 16 4 14,9 3,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,5 386 431,
euromillions,2006-05-12,20060512,2006019,,VE,,23 5 20 34 50,1 5,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,5 755 884,
euromillions,2006-05-19,20060519,2006020,,VE,,49 34 25 3 5,8 5,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,6 725 858,
euromillions,2006-05-26,20060526,2006021,,VE,,21 41 12 2 49,3 7,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,5 403 426,
euromillions,2006-06-02,20060602,2006022,,VE,,41 7 48 27 8,6 1,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,6 065 751,
euromillions,2006-06-09,20060609,2006023,,VE,,3 34 39 15 12,4 6,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,4 604 791,
euromillions,2006-06-16,20060616,2006024,,VE,,26 36 1 16 30,9 3,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,2 411 973,
euromillions,2006-06-23,20060623,2006025,,VE,,44 30 9 21 43,9 1,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,5 466 184,
euromillions,2006-06-30,20060630,2006026,,VE,,16 6 15 40 43,1 2,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,1 112 679,
euromillions,2006-07-07,20060707,2006027,,VE,,35 9 7 43 18,7 5,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,0 748 747,
euromillions,2006-07-14,20060714,2006028,,VE,,1 31 7 17 36,8 2,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,1 223 000,
euromillions,2006-07-21,20060721,2006029,,VE,,50 4 38 2 9,8 6,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,6 075 460,
euromillions,2006-07-28,20060728,2006030,,VE,,3 43 29 8 12,6 7,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,5 932 837,
euromillions,2006-08-04,20060804,2006031,,VE,,26 15 32 14 1,7 3,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,9 953 892,
euromillions,2006-08-11,20060811,2006032,,VE,,47 31 46 28 27,5 2,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,1 634 408,
